Sr. No,Section,Function Group,Function Description,Code,Description,Pradhikrut Vibhag,2011-12 Actual Expenditure,2012-13 Actual Expenditure,2013-14 Actual Expenditure,2014-13 Actual Expenditure,2015-16 final,2015-16 municipal commissioner,2015-16 standing committee,2016-17 municipal commissioner,2016-17 standing committee,,,
1,A2 Revenue Expenditure,0 General Administration,G.A.D.,A20100110001,__.___.__. ________ ____,G.A.D.,,550.29,643.44,719.54,700.00,715.00,715.00,730.00,730.00,,,Pradhikrut Vibhag
2,A2 Revenue Expenditure,0 General Administration,G.A.D.,A20100110002,__.___..__. ________ ________ __________ ________ ____,G.A.D.,,3.25,807.00,8.32,15.00,5.00,5.00,2.00,2.00,,,ACCOUNTS AND FINANCE
3,A2 Revenue Expenditure,0 General Administration,Accounts and Finance,A20200410003,____ _ _____ ________ ____,ACCOUNTS AND FINANCE,,188.56,227.00,263.66,250.00,250.00,250.00,240.00,240.00,,,CATTELE POUND HELTH (S)
4,A2 Revenue Expenditure,0 General Administration,Accounts and Finance,A20200410004,____ _________ _______ ______ ____ __________ _._.__. __ ______ ,ACCOUNTS AND FINANCE,,0.00,2.25,2.00,5.00,10.00,10.00,25.00,25.00,,,EDUCATION DEPT.
5,A2 Revenue Expenditure,0 General Administration,Accounts and Finance,A20200410005,____________ ____,ACCOUNTS AND FINANCE,,8325.00,7880.00,9250.00,9000.00,12000.00,12000.00,13000.00,12600.00,,,ENFORCE. DEPT.
6,A2 Revenue Expenditure,0 General Administration,Accounts and Finance,A20200410006,_______ _________ ______,ACCOUNTS AND FINANCE,,31.04,10.16,5.27,200.00,0.00,0.00,0.00,200.00,,,ESTATE DEPT.
7,A2 Revenue Expenditure,0 General Administration,Accounts and Finance,A20200410007,____________ ____ ______ _________ ______ ,ACCOUNTS AND FINANCE,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,FIRE DEPT.
8,A2 Revenue Expenditure,0 General Administration,Land and Estate,A20600810008,______ ________ ____,ACCOUNTS AND FINANCE,,62.88,73.08,81.59,75.00,75.00,75.00,80.00,80.00,,,G.A.D.
9,A2 Revenue Expenditure,0 General Administration,Municipal Body,A20002522001,______ ______/________/________ ______ _____,MUNICIPAL SECRETARIAT ,,5.87,2.63,4.67,5.00,5.00,5.00,5.00,5.00,,,GARDEN DEPT.
10,A2 Revenue Expenditure,0 General Administration,Municipal Body,A20002522102,_._.__. _________ _____,MUNICIPAL SECRETARIAT ,,124.20,135.25,133.59,140.00,140.00,140.00,140.00,140.00,,,HEALTH (M)
