Sr. No,Section,Function Group,Function Description,Code,Description,Pradhikrut Vibhag,2011-12 Actual Expenditure,2012-13 Actual Expenditure,2013-14 Actual Expenditure,2014-13 Actual Expenditure,2015-16 final,2015-16 municipal commissioner,2015-16 standing committee,2016-17 municipal commissioner,2016-17 standing committee,,,
1,A2 Revenue Expenditure,0 General Administration,G.A.D.,A20100110001,सा.प्र.वि. आस्थापना व्यय,G.A.D.,,550.29,643.44,719.54,700.00,715.00,715.00,730.00,730.00,,,Pradhikrut Vibhag
2,A2 Revenue Expenditure,0 General Administration,G.A.D.,A20100110002,सा.प्र..वि. रोजंदारी मजूरांची कार्यव्ययी आस्थापना व्यय,G.A.D.,,3.25,807.00,8.32,15.00,5.00,5.00,2.00,2.00,,,ACCOUNTS AND FINANCE
3,A2 Revenue Expenditure,0 General Administration,Accounts and Finance,A20200410003,लेखा व वित्त आस्थापना व्यय,ACCOUNTS AND FINANCE,,188.56,227.00,263.66,250.00,250.00,250.00,240.00,240.00,,,CATTELE POUND HELTH (S)
4,A2 Revenue Expenditure,0 General Administration,Accounts and Finance,A20200410004,नवीन परिभाष्ीत अंशतदान वित्ती वेतन योजनेकरिता म.न.पा. चे अशंदान ,ACCOUNTS AND FINANCE,,0.00,2.25,2.00,5.00,10.00,10.00,25.00,25.00,,,EDUCATION DEPT.
5,A2 Revenue Expenditure,0 General Administration,Accounts and Finance,A20200410005,सेवानिवृत्ती वेतन,ACCOUNTS AND FINANCE,,8325.00,7880.00,9250.00,9000.00,12000.00,12000.00,13000.00,12600.00,,,ENFORCE. DEPT.
6,A2 Revenue Expenditure,0 General Administration,Accounts and Finance,A20200410006,सहाव्या वेतनासाठी थकबाकी,ACCOUNTS AND FINANCE,,31.04,10.16,5.27,200.00,0.00,0.00,0.00,200.00,,,ESTATE DEPT.
7,A2 Revenue Expenditure,0 General Administration,Accounts and Finance,A20200410007,सेवानिवृत्ती वेतन धारकास वेतनासाठी थकबाकी ,ACCOUNTS AND FINANCE,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,FIRE DEPT.
8,A2 Revenue Expenditure,0 General Administration,Land and Estate,A20600810008,स्थावर आस्िापना व्यय,ACCOUNTS AND FINANCE,,62.88,73.08,81.59,75.00,75.00,75.00,80.00,80.00,,,G.A.D.
9,A2 Revenue Expenditure,0 General Administration,Municipal Body,A20002522001,माननीय महापौर/उपमहापौर/उपमहापौर आतिथ्य ीत्ता,MUNICIPAL SECRETARIAT ,,5.87,2.63,4.67,5.00,5.00,5.00,5.00,5.00,,,GARDEN DEPT.
10,A2 Revenue Expenditure,0 General Administration,Municipal Body,A20002522102,म.न.पा. सदस्यांना मानधन,MUNICIPAL SECRETARIAT ,,124.20,135.25,133.59,140.00,140.00,140.00,140.00,140.00,,,HEALTH (M)
11,A2 Revenue Expenditure,0 General Administration,Municipal Body,A20002521703,माननीय सदस्यांना सभेचा भत्ता,MUNICIPAL SECRETARIAT ,,1.55,1.57,1.35,5.00,5.00,5.00,5.00,5.00,,,HEALTH (S)
12,A2 Revenue Expenditure,0 General Administration,Municipal Body,A20002521204,मा. सदस्यांना प्रवास खर्च,MUNICIPAL SECRETARIAT ,,3.17,7.81,12.19,40.00,15.00,15.00,20.00,20.00,,,HOTMIX
13,A2 Revenue Expenditure,0 General Administration,Municipal Body,A20002521605,अखिल भारतीय महापौर संस्था वार्षिक वर्गणी,MUNICIPAL SECRETARIAT ,,0.00,0.50,0.20,0.50,0.50,0.50,0.50,0.50,,,L.B.T./OCTROI DEPT.
14,A2 Revenue Expenditure,0 General Administration,Municipal Body,A20002522006,मा. अध्यक्ष म.न.पा. आतिथ्य भत्ता,MUNICIPAL SECRETARIAT ,,0.73,0.43,0.34,2.00,3.00,3.00,3.00,3.00,,,LIBRARY DEPT.
15,A2 Revenue Expenditure,0 General Administration,Municipal Body,A20002522207,वैद्यकीय खर्चाची प्रतिपूर्ती (नगरसेवकांकरीता),MUNICIPAL SECRETARIAT ,,4.26,3.19,1.85,25.00,10.00,10.00,15.00,25.00,,,MARKET DEPT.
16,A2 Revenue Expenditure,0 General Administration,G.A.D.,A20100120308,जाहीरात व प्रसिध्दी खर्च (1) नागरी संवाद व जनजागृती अभियान रु. 15 लक्ष राखीव (2) म.न.पा. च्या विविध कार्याची प्रसिध्दी,G.A.D.,,89.63,84.62,80.54,225.00,150.00,150.00,150.00,225.00,,,MUNICIPAL SECRETARIAT 
17,A2 Revenue Expenditure,0 General Administration,G.A.D.,A20100122009,किरकोळ खर्च,G.A.D.,,54.23,18.93,45.22,50.00,25.00,25.00,25.00,25.00,,,P.W.D.
18,A2 Revenue Expenditure,0 General Administration,G.A.D.,A20100122010,क्षेत्रिय कार्यालय किरकोळ खर्च,G.A.D.,,0.43,12.55,21.79,20.00,15.00,15.00,20.00,30.00,,,P.W.D. ELECTRICAL
19,A2 Revenue Expenditure,0 General Administration,G.A.D.,A20105122052,क्षेत्रिय कार्यालय क्रमांक 1 लक्ष्मीनगर,Zone No. 1,,0.00,0.21,2.18,2.00,1.50,1.50,2.00,3.00,,,PENCH PROJECT CELL
20,A2 Revenue Expenditure,0 General Administration,G.A.D.,A20110122002,क्षेत्रिय कार्यालय क्रमांक 2 धरमपेठ,Zone No. 2,,0.00,1.93,4.46,2.00,1.50,1.50,2.00,3.00,,,PROPERTY TAX DEPT.
21,A2 Revenue Expenditure,0 General Administration,G.A.D.,A20115122052,क्षेत्रिय कार्यालय क्रमांक 3 हनुमाननगर,Zone No. 3,,0.00,1.25,1.79,2.00,1.50,1.50,2.00,3.00,,,S.T.P.
